COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Colombia,MAR2014,March 2014,2014,3,March,Distribution losses,620.585,19,5850.0,,0.1064009265299789
Colombia,MAR2014,March 2014,2014,3,March,Final consumption,5142.876,20,62375.299,,0.8817595839873537
Colombia,MAR2014,March 2014,2014,3,March,Electricity trade,69.054,21,802.0,,0.0118394894826674
Colombia,MAR2014,March 2014,2014,3,March,Renewables,4313.454,22,48591.614,,0.7395530058645369
Colombia,MAR2014,March 2014,2014,3,March,Non-renewables,1519.06,23,20435.682,,0.2604468226828392
Colombia,MAR2014,March 2014,2014,3,March,Others,141.402,24,1918.191,,0.0242437439080739
Colombia,MAR2014,March 2014,2014,3,March,Other renewables aggregated,100.687,25,1264.093,,0.0172630503307749
Colombia,MAR2014,March 2014,2014,3,March,Low carbon,4313.454,26,48591.614,,0.7395530058645369
Colombia,MAR2014,March 2014,2014,3,March,Fossil fuels,1519.06,27,20435.682,,0.2604468226828392
Colombia,APR2014,April 2014,2014,4,April,Hydro,3615.005,1,47249.092,,0.6510123182525593
Colombia,APR2014,April 2014,2014,4,April,Wind,6.694,2,69.482,,0.0012054966613829
Colombia,APR2014,April 2014,2014,4,April,Solar,0.56,3,8.947,,0.0001008482417649
Colombia,APR2014,April 2014,2014,4,April,Total combustible fuels,1930.638,7,21699.775,,0.3476811567581468
Colombia,APR2014,April 2014,2014,4,April,Coal,515.133,8,5152.09,,0.0927683166519536
Colombia,APR2014,April 2014,2014,4,April,Oil,158.736,9,1918.191,,0.0285861544728536
Colombia,APR2014,April 2014,2014,4,April,Natural gas,1157.945,10,13365.401,,0.2085298523401654
Colombia,APR2014,April 2014,2014,4,April,Combustible renewables,98.824,11,1264.093,,0.0177968332931741
Colombia,APR2014,April 2014,2014,4,April,Net electricity production,5552.898,14,69027.299,,1.0
Colombia,APR2014,April 2014,2014,4,April,Total imports,0.187,15,47.0,,3.367610930364649e-05
Colombia,APR2014,April 2014,2014,4,April,Total exports,43.774,16,849.0,,0.0078830909553894
Colombia,APR2014,April 2014,2014,4,April,Electricity supplied,5509.311,17,68225.299,,0.9921505851539142
Colombia,APR2014,April 2014,2014,4,April,Distribution losses,470.892,19,5850.0,,0.0848011254663781
Colombia,APR2014,April 2014,2014,4,April,Final consumption,5038.419,20,62375.299,,0.907349459687536
Colombia,APR2014,April 2014,2014,4,April,Electricity trade,43.587,21,802.0,,0.0078494148460857
Colombia,APR2014,April 2014,2014,4,April,Renewables,3721.083,22,48591.614,,0.6701154964488812
Colombia,APR2014,April 2014,2014,4,April,Non-renewables,1831.814,23,20435.682,,0.3298843234649727
Colombia,APR2014,April 2014,2014,4,April,Others,158.736,24,1918.191,,0.0285861544728536
Colombia,APR2014,April 2014,2014,4,April,Other renewables aggregated,98.824,25,1264.093,,0.0177968332931741
Colombia,APR2014,April 2014,2014,4,April,Low carbon,3721.083,26,48591.614,,0.6701154964488812
Colombia,APR2014,April 2014,2014,4,April,Fossil fuels,1831.814,27,20435.682,,0.3298843234649727
Colombia,MAY2014,May 2014,2014,5,May,Hydro,3632.958,1,47249.092,,0.6337568662148735
Colombia,MAY2014,May 2014,2014,5,May,Wind,6.211,2,69.482,,0.0010834873114582
